model,requested_days,expected_measurements,actual_measurements,response_time_s,endpoint_used,chars
gpt-oss:20b,1,24,24,22.445866,native:/api/generate,626
gpt-oss:20b,2,48,48,26.87298,native:/api/generate,1231
gpt-oss:20b,3,72,72,68.658874,native:/api/generate,1941
gpt-oss:20b,4,96,96,84.050996,native:/api/generate,2267
gpt-oss:20b,5,120,120,160.20737,native:/api/generate,2639
gpt-oss:20b,6,144,360,200.185971,native:/api/generate,9359
gpt-oss:20b,7,168,168,79.395888,native:/api/generate,3694
gpt-oss:20b,8,192,192,113.622367,native:/api/generate,4879
gpt-oss:20b,9,216,216,97.659853,native:/api/generate,5399
gpt-oss:20b,10,240,240,132.438747,native:/api/generate,5567
gpt-oss:20b,11,264,264,140.804736,native:/api/generate,7025
gpt-oss:20b,12,288,288,227.05941,native:/api/generate,7197
gpt-oss:20b,13,312,312,146.577247,native:/api/generate,7485
gpt-oss:20b,14,336,336,194.319305,native:/api/generate,7923
gpt-oss:20b,15,360,360,227.604122,native:/api/generate,10257
gpt-oss:20b,16,384,384,264.35566,native:/api/generate,10749
gpt-oss:20b,17,408,408,611.586313,openai:/v1/chat/completions,10197
gpt-oss:20b,18,432,432,221.935164,native:/api/generate,10581
gpt-oss:20b,19,456,456,276.448308,native:/api/generate,11853
gpt-oss:20b,20,480,480,308.605486,native:/api/generate,11997
gpt-oss:20b,21,504,370,191.179325,native:/api/generate,8890
gpt-oss:20b,22,528,286,142.378307,native:/api/generate,7299
gpt-oss:20b,23,552,552,332.801355,native:/api/generate,13521
gpt-oss:20b,26,624,93,650.741325,openai:/v1/chat/completions,2437
gpt-oss:20b,27,648,648,319.904743,native:/api/generate,16494
gpt-oss:20b,28,672,600,625.914525,openai:/v1/chat/completions,13846
gpt-oss:20b,29,696,696,333.349427,native:/api/generate,12904
gpt-oss:20b,30,720,720,355.2425,native:/api/generate,17573
gpt-oss:20b,31,744,744,337.464385,native:/api/generate,17111
llama3.1:8b,1,24,21,15.075443,native:/api/generate,685
llama3.1:8b,2,48,29,18.087977,native:/api/generate,1084
llama3.1:8b,3,72,49,27.670973,native:/api/generate,1635
llama3.1:8b,4,96,49,25.172958,native:/api/generate,1618
llama3.1:8b,5,120,74,39.654354,native:/api/generate,2352
llama3.1:8b,6,144,97,41.910726,native:/api/generate,2517
llama3.1:8b,7,168,96,49.953469,native:/api/generate,2833
llama3.1:8b,8,192,192,180.47042,native:/api/generate,5496
llama3.1:8b,9,216,0,137.264054,native:/api/generate,5744
llama3.1:8b,10,240,120,122.948614,native:/api/generate,3552
llama3.1:8b,11,264,2,57.238963,native:/api/generate,2214
llama3.1:8b,12,288,456,321.454574,native:/api/generate,9859
llama3.1:8b,13,312,51,382.712895,openai:/v1/chat/completions,1406
llama3.1:8b,14,336,194,563.625203,openai:/v1/chat/completions,5575
llama3.1:8b,15,360,161,103.101299,native:/api/generate,4875
llama3.1:8b,16,384,288,269.904923,native:/api/generate,8960
llama3.1:8b,17,408,0,59.43134,native:/api/generate,3058
llama3.1:8b,18,432,50,409.688303,openai:/v1/chat/completions,1545
llama3.1:8b,19,456,50,59.447314,native:/api/generate,2155
llama3.1:8b,20,480,49,49.946816,native:/api/generate,1676
llama3.1:8b,21,504,257,190.109622,native:/api/generate,6432
llama3.1:8b,22,528,27,35.478412,native:/api/generate,1275
llama3.1:8b,23,552,31,32.64964,native:/api/generate,1094
llama3.1:8b,24,576,290,225.229039,native:/api/generate,7084
llama3.1:8b,25,600,146,466.014939,openai:/v1/chat/completions,4561
llama3.1:8b,26,624,12,14.530727,native:/api/generate,1519
llama3.1:8b,27,648,35,35.023076,native:/api/generate,1544
llama3.1:8b,28,672,240,589.638782,openai:/v1/chat/completions,6910
llama3.1:8b,29,696,52,413.003951,openai:/v1/chat/completions,1763
llama3.1:8b,30,720,241,163.901993,native:/api/generate,5822
llama3.1:8b,31,744,58,28.102968,native:/api/generate,1581
llama3.2,1,24,5,3.03272,native:/api/generate,1265
llama3.2,2,48,1,1.793853,native:/api/generate,1028
llama3.2,3,72,1,0.874993,native:/api/generate,789
llama3.2,4,96,46,2.671087,native:/api/generate,1477
llama3.2,5,120,1,1.97751,native:/api/generate,2051
llama3.2,6,144,145,8.080876,native:/api/generate,3489
llama3.2,7,168,135,7.535966,native:/api/generate,3527
llama3.2,8,192,1,1.108127,native:/api/generate,873
llama3.2,9,216,207,8.746858,native:/api/generate,3753
llama3.2,10,240,1,1.226659,native:/api/generate,1134
llama3.2,11,264,694,46.839962,native:/api/generate,18013
llama3.2,12,288,2,0.897482,native:/api/generate,875
llama3.2,13,312,1,1.151478,native:/api/generate,1093
llama3.2,14,336,3,1.33134,native:/api/generate,1305
llama3.2,15,360,364,11.153751,native:/api/generate,6439
llama3.2,16,384,2,1.998778,native:/api/generate,2075
llama3.2,17,408,0,214.275026,native:/api/generate,13269
llama3.2,18,432,2,3.301285,native:/api/generate,559
llama3.2,19,456,1,3.888239,native:/api/generate,696
llama3.2,20,480,2,3.895831,native:/api/generate,664
llama3.2,21,504,3,2.862679,native:/api/generate,522
llama3.2,22,528,1,4.809832,native:/api/generate,823
llama3.2,23,552,0,81.4522,native:/api/generate,5699
llama3.2,24,576,1,3.343512,native:/api/generate,625
llama3.2,25,600,2,5.131704,native:/api/generate,830
llama3.2,26,624,366,70.279324,native:/api/generate,5469
llama3.2,27,648,2,8.017573,native:/api/generate,1524
llama3.2,28,672,1,2.904793,native:/api/generate,549
llama3.2,29,696,1,4.411707,native:/api/generate,903
llama3.2,30,720,1,3.243853,native:/api/generate,576
llama3.2,31,744,31,9.060863,native:/api/generate,1219
